Difficulty, MusicName, ClearGauge, BadPoor, EXScore
1, BBBlow, Easy, 81, 2088
1, aliceblue, Easy, 58, 2295
1, ゲルニカ, Easy, 45, 1963
2, Blink, Easy, 96, 2454
2, Velaciela, Failed, 138, 1788
2, エピローグ, Easy, 79, 1952
3, subconsciousness, Easy, 61, 2960
3, SuperMarioBrothers, Failed, 191, 2357
3, J2U, Failed, 258, 1907
3, タイヨウパラダイス, Easy, 112, 3054
3, PrayStation, Easy, 89, 1905
3, PAPARAZZI, Failed, 93, 2263
3, Imperishable, Easy, 149, 2521
4, AutumnBreeze, Easy, 73, 1968
4, エストポリス, Failed, 148, 2375
4, リトハ, Easy, 89, 2654
4, ラブジャス, Easy, 142, 2294
4, Magical Love Words, Failed,126,2646
5, Cosmoscape, Failed, 150, 2367
5,夜桜,Failed,114,2319
5,道しるべ,Failed,68,2386
6,Air,Failed,240,2897
6,DESIRE DRIVE,Failed,128,2210
6,conflict,Failed,187,2784
